6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[-0.00853648]	[-0.99996356]	[ 0.00487775]	[-1.99987359]
[-0.02560696]	[-0.99967209]	[ 0.01462608]	[-1.99886241]
[-0.05100682]	[-0.9986983]	[ 0.02918375]	[-1.99547786]
[-0.08429111]	[-0.99644117]	[ 0.04838519]	[-1.98760059]
[-0.12472376]	[-0.99219151]	[ 0.07189647]	[-1.97267123]
[-0.17123379]	[-0.98523043]	[ 0.09915554]	[-1.94798149]
[-0.22240603]	[-0.97495413]	[ 0.12934175]	[-1.91104895]
[-0.27653314]	[-0.96100438]	[ 0.16139639]	[-1.86001369]
[-0.33173917]	[-0.94337115]	[ 0.19410067]	[-1.79395475]
[-0.38615385]	[-0.92243439]	[ 0.22619063]	[-1.71302546]
[-0.43808942]	[-0.8989314]	[ 0.25646863]	[-1.61836807]
[-0.48616869]	[-0.87386498]	[ 0.28387308]	[-1.51185845]
[-0.52937818]	[-0.84838596]	[ 0.30749169]	[-1.39578784]
[-0.56705212]	[-0.82368191]	[ 0.3265299]	[-1.27258188]
[-0.59881267]	[-0.80088912]	[ 0.34025949]	[-1.14460917]
[-0.6244931]	[-0.78103032]	[ 0.34797082]	[-1.0140838]
[-0.6440623]	[-0.76497304]	[ 0.34894331]	[-0.88304023]
[-0.65756036]	[-0.75340186]	[ 0.34243964]	[-0.75335218]
[-0.66504876]	[-0.74679994]	[ 0.32772173]	[-0.62677178]
[-0.6665761]	[-0.74543699]	[ 0.30408186]	[-0.50497259]
[-0.66215922]	[-0.74936317]	[ 0.27087991]	[-0.38958826]
[-0.65177956]	[-0.75840847]	[ 0.22757756]	[-0.28224562]
[-0.63539414]	[-0.77218799]	[ 0.17376358]	[-0.18459647]
[-0.6129607]	[-0.7901134]	[ 0.10916935]	[-0.09835607]
[-0.58447606]	[-0.81141095]	[ 0.033681]	[-0.02535635]
[-0.55002615]	[-0.83514743]	[-0.05263814]	[ 0.03238076]
[-0.50984589]	[-0.86026576]	[-0.14949541]	[ 0.07255123]
[-0.46438613]	[-0.88563284]	[-0.25626409]	[ 0.09247003]
[-0.4143843]	[-0.910102]	[-0.37180415]	[ 0.08899105]
[-0.36093405]	[-0.93259134]	[-0.49419425]	[ 0.05848975]
[-0.30554841]	[-0.95217654]	[-0.62037816]	[-0.00302838]
[-0.25020953]	[-0.96819171]	[-0.74576105]	[-0.09961317]
[-0.19739676]	[-0.98032368]	[-0.8638378]	[-0.23476595]
[-0.15008372]	[-0.98867329]	[-0.96598893]	[-0.41048761]
[-0.11169463]	[-0.99374258]	[-1.041615]	[-0.62598163]
[-0.07675942]	[-0.99704964]	[-1.06713972]	[-0.85867745]
[-0.04652526]	[-0.99891711]	[-1.04172208]	[-1.09681133]
[-0.02188325]	[-0.99976053]	[-0.96634203]	[-1.32839045]
[-0.00325443]	[-0.9999947]	[-0.84407728]	[-1.54130509]
[ 0.00956343]	[-0.99995427]	[-0.68041667]	[-1.7237826]
[ 0.01756565]	[-0.99984571]	[-0.48345572]	[-1.86528062]
[ 0.02267275]	[-0.99974294]	[-0.2637446]	[-1.95784789]
[ 0.02771531]	[-0.99961586]	[-0.03350137]	[-1.99774036]
[ 0.03613508]	[-0.99934691]	[ 0.19495894]	[-1.98665385]
[ 0.05136676]	[-0.99867986]	[ 0.41124543]	[-1.93167897]
[ 0.0761042]	[-0.99709987]	[ 0.60849353]	[-1.84359948]
[ 0.1117951]	[-0.99373128]	[ 0.78378689]	[-1.73428988]
[ 0.14255697]	[-0.9897866]	[ 0.93732395]	[-1.59670129]
[ 0.16934854]	[-0.98555622]	[ 1.0627245]	[-1.43486614]
[ 0.19312928]	[-0.98117332]	[ 1.15501847]	[-1.25461289]
[ 0.21470617]	[-0.97667869]	[ 1.2109781]	[-1.06294707]
[ 0.234636]	[-0.9720833]	[ 1.2291386]	[-0.86737137]
[ 0.25319375]	[-0.96741559]	[ 1.20958263]	[-0.67531918]
[ 0.27039453]	[-0.9627496]	[ 1.1536154]	[-0.49379235]
[ 0.29650474]	[-0.95503138]	[ 1.08621855]	[-0.34155595]
[ 0.31909276]	[-0.94772349]	[ 0.99133999]	[-0.20739677]
[ 0.34676309]	[-0.93795275]	[ 0.89587359]	[-0.10220299]
[ 0.3771974]	[-0.92613288]	[ 0.80458752]	[-0.02206558]
[ 0.40846275]	[-0.91277499]	[ 0.72047691]	[ 0.03730247]
[ 0.43901372]	[-0.89848036]	[ 0.64514791]	[ 0.08004337]
[ 0.46765929]	[-0.88390881]	[ 0.57919459]	[ 0.10985166]
[ 0.4935119]	[-0.86973905]	[ 0.52253353]	[ 0.12983974]
[ 0.51593057]	[-0.8566304]	[ 0.47467532]	[ 0.14251824]
[ 0.53446571]	[-0.84519016]	[ 0.43492812]	[ 0.14984365]
[ 0.5488095]	[-0.83594744]	[ 0.40253994]	[ 0.15329733]
[ 0.55236564]	[-0.83360195]	[ 0.35346758]	[ 0.14641824]
[ 0.5515372]	[-0.8341503]	[ 0.31073287]	[ 0.13642339]
[ 0.54620839]	[-0.83764933]	[ 0.2735937]	[ 0.12447397]
[ 0.53630763]	[-0.84402259]	[ 0.24141454]	[ 0.11150767]
[ 0.5218018]	[-0.85306675]	[ 0.21369631]	[ 0.09828545]
[ 0.49625387]	[-0.86817746]	[ 0.16742796]	[ 0.0762131]
[ 0.46595775]	[-0.88480697]	[ 0.12497806]	[ 0.05526369]
[ 0.4311186]	[-0.90229527]	[ 0.08610491]	[ 0.03630238]
[ 0.39206085]	[-0.91993928]	[ 0.05078831]	[ 0.02002511]
[ 0.34235791]	[-0.93956961]	[-0.00371753]	[-0.00136293]
[ 0.28922208]	[-0.95726203]	[-0.05438633]	[-0.01814901]
[ 0.23357466]	[-0.97233887]	[-0.10072746]	[-0.02987291]
[ 0.16926425]	[-0.9855707]	[-0.16537137]	[-0.0432231]
[ 0.10454533]	[-0.99452012]	[-0.22437306]	[-0.05016177]
[ 0.04089101]	[-0.99916361]	[-0.27677199]	[-0.05095993]
[-0.02765554]	[-0.99961751]	[-0.34518631]	[-0.05136955]
[-0.09224433]	[-0.9957364]	[-0.40500578]	[-0.0459047]
[-0.15142081]	[-0.98846939]	[-0.45521432]	[-0.03573149]
[-0.21141026]	[-0.97739741]	[-0.5187254]	[-0.02578961]
[-0.26359702]	[-0.96463289]	[-0.570861]	[-0.01300857]
[-0.31450402]	[-0.94925614]	[-0.63480095]	[-0.00193894]
[-0.35591318]	[-0.93451902]	[-0.68608824]	[ 0.00940069]
[-0.38732809]	[-0.92194194]	[-0.72436747]	[ 0.01954861]
[-0.40844313]	[-0.91278377]	[-0.74936139]	[ 0.02730917]
[-0.42651943]	[-0.9044784]	[-0.78476098]	[ 0.02915054]
[-0.43394857]	[-0.90093765]	[-0.80642757]	[ 0.02710298]
[-0.43054841]	[-0.90256749]	[-0.8142711]	[ 0.02088088]
[-0.41611611]	[-0.90931149]	[-0.80820824]	[ 0.01061447]
[-0.39043007]	[-0.92063259]	[-0.7881831]	[-0.00314006]
[-0.35329124]	[-0.93551339]	[-0.75421033]	[-0.01939992]
[-0.30460151]	[-0.95247988]	[-0.70643794]	[-0.03676842]
[-0.24447179]	[-0.96965641]	[-0.64522308]	[-0.05346952]
[-0.17334687]	[-0.98486083]	[-0.57120895]	[-0.0674156]
[-0.0921278]	[-0.99574719]	[-0.48538662]	[-0.07631938]
[-0.01015678]	[-0.99994842]	[-0.41296719]	[-0.08466498]
[ 0.07841303]	[-0.99692096]	[-0.33157304]	[-0.08482918]
[ 0.17142456]	[-0.98519725]	[-0.24308642]	[-0.07515294]
[ 0.25909703]	[-0.9658513]	[-0.17233639]	[-0.06370652]
[ 0.34635392]	[-0.93810392]	[-0.09788382]	[-0.04219498]
[ 0.43089321]	[-0.90240293]	[-0.02153704]	[-0.01060314]
[ 0.5042834]	[-0.86353822]	[ 0.0337514]	[ 0.01884472]
[ 0.57176138]	[-0.82041997]	[ 0.0891701]	[ 0.05542571]
[ 0.62657673]	[-0.77935974]	[ 0.12345713]	[ 0.08485706]
[ 0.67443297]	[-0.73833608]	[ 0.15758932]	[ 0.11774373]
[ 0.70999595]	[-0.70420575]	[ 0.17173627]	[ 0.13857328]
[ 0.73902832]	[-0.67367436]	[ 0.18628943]	[ 0.15968014]
[ 0.75694185]	[-0.65348224]	[ 0.18232647]	[ 0.16494134]
[ 0.76911247]	[-0.63911346]	[ 0.17932152]	[ 0.16844251]
[ 0.77570931]	[-0.63109038]	[ 0.17708151]	[ 0.16993693]
[ 0.77681477]	[-0.62972915]	[ 0.17546088]	[ 0.16925363]
[ 0.76766482]	[-0.64085156]	[ 0.15597048]	[ 0.15024264]
[ 0.75262639]	[-0.65844781]	[ 0.13660196]	[ 0.12927924]
[ 0.7313542]	[-0.68199782]	[ 0.11684437]	[ 0.10691134]
[ 0.70344692]	[-0.7107478]	[ 0.0962481]	[ 0.08380213]
[ 0.66300996]	[-0.74861057]	[ 0.05531054]	[ 0.04555655]
[ 0.61462504]	[-0.78881941]	[ 0.01214725]	[ 0.00931624]
[ 0.55818212]	[-0.82971846]	[-0.03352453]	[-0.0235651]
[ 0.49388313]	[-0.8695283]	[-0.08164589]	[-0.05174694]
[ 0.42231122]	[-0.9064509]	[-0.13176802]	[-0.07398697]
[ 0.34446699]	[-0.93879843]	[-0.18303156]	[-0.0892425]
[ 0.26176015]	[-0.96513296]	[-0.23418176]	[-0.09677726]
[ 0.1686736]	[-0.98567196]	[-0.30602506]	[-0.10552357]
[ 0.07442234]	[-0.99722681]	[-0.37510974]	[-0.10396262]
[-0.01847901]	[-0.99982925]	[-0.43937467]	[-0.09272019]
[-0.11512072]	[-0.99335151]	[-0.5200467]	[-0.07900204]
[-0.20543223]	[-0.97867134]	[-0.59214284]	[-0.05647022]
[-0.29476]	[-0.95557132]	[-0.67737924]	[-0.0316652]
[-0.37357129]	[-0.92760147]	[-0.75076953]	[-0.00146893]
[-0.44796587]	[-0.89405066]	[-0.83468015]	[ 0.02814893]
[-0.50955331]	[-0.86043909]	[-0.90467948]	[ 0.05818777]
[-0.56524314]	[-0.82492436]	[-0.98365935]	[ 0.08333104]
[-0.60775299]	[-0.79412612]	[-1.04782167]	[ 0.10383799]
[-0.63752111]	[-0.77043289]	[-1.09722382]	[ 0.11763998]
[-0.65500063]	[-0.75562833]	[-1.1319458]	[ 0.12330472]
[-0.66047264]	[-0.75085011]	[-1.1519948]	[ 0.12001496]
[-0.65392118]	[-0.75656268]	[-1.15724118]	[ 0.10753741]
[-0.63497891]	[-0.77252947]	[-1.14739849]	[ 0.08620575]
[-0.60294913]	[-0.79777964]	[-1.12205759]	[ 0.05692874]
[-0.55690675]	[-0.83057503]	[-1.08078036]	[ 0.02122098]
[-0.49587695]	[-0.8683928]	[-1.02325072]	[-0.0187594]
[-0.41908345]	[-0.90794772]	[-0.94947152]	[-0.06019275]
[-0.32624802]	[-0.94528421]	[-0.85998499]	[-0.09963366]
[-0.21790927]	[-0.97596903]	[-0.75608428]	[-0.13313592]
[-0.09571012]	[-0.99540925]	[-0.63997262]	[-0.15649428]
[ 0.03741497]	[-0.99929981]	[-0.51481845]	[-0.16561027]
[ 0.17723354]	[-0.98416882]	[-0.3846536]	[-0.15695492]
[ 0.318458]	[-0.94793697]	[-0.25407781]	[-0.12805726]
[ 0.45525742]	[-0.89035986]	[-0.12777428]	[-0.07791046]
[ 0.57589286]	[-0.81752518]	[-0.0297108]	[-0.02175875]
[ 0.6830254]	[-0.73039462]	[ 0.05861732]	[ 0.05070368]
[ 0.76922363]	[-0.63897966]	[ 0.11780451]	[ 0.11973842]
[ 0.83539115]	[-0.54965592]	[ 0.15055684]	[ 0.1790429]
[ 0.88727721]	[-0.46123655]	[ 0.17590982]	[ 0.24158379]
[ 0.92338204]	[-0.38388229]	[ 0.18036964]	[ 0.28539537]
