6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[ 0.94952495]	[-0.31369153]	[ 0.18147784]	[ 0.32670183]
[ 0.96569527]	[-0.25967796]	[ 0.16794375]	[ 0.34330837]
[ 0.97643169]	[-0.21582668]	[ 0.15483502]	[ 0.35424254]
[ 0.983146]	[-0.18282214]	[ 0.14269487]	[ 0.3590652]
[ 0.98694054]	[-0.161085]	[ 0.13191266]	[ 0.35749703]
[ 0.98855616]	[-0.15085332]	[ 0.12266805]	[ 0.34938441]
[ 0.98834326]	[-0.15224192]	[ 0.11489443]	[ 0.33467404]
[ 0.98624765]	[-0.16527424]	[ 0.10825626]	[ 0.31340218]
[ 0.98180657]	[-0.18988378]	[ 0.10213717]	[ 0.28570191]
[ 0.97415414]	[-0.2258843]	[ 0.09563864]	[ 0.25182955]
[ 0.95997262]	[-0.28009386]	[ 0.07733534]	[ 0.18996086]
[ 0.9388165]	[-0.34441775]	[ 0.05502212]	[ 0.12345776]
[ 0.9086229]	[-0.41761757]	[ 0.02658983]	[ 0.05356994]
[ 0.86725093]	[-0.49787129]	[-0.01010552]	[-0.01803208]
[ 0.81269903]	[-0.58268369]	[-0.05706356]	[-0.08921329]
[ 0.74338241]	[-0.66886665]	[-0.11591352]	[-0.1573879]
[ 0.6584454]	[-0.75262849]	[-0.18766284]	[-0.21961739]
[ 0.55805906]	[-0.82980123]	[-0.27245969]	[-0.27281056]
[ 0.44363475]	[-0.89620768]	[-0.36942169]	[-0.31402281]
[ 0.31788091]	[-0.94813065]	[-0.47658418]	[-0.34082083]
[ 0.18465204]	[-0.98280396]	[-0.59100421]	[-0.35164836]
[ 0.04858743]	[-0.99881893]	[-0.70902126]	[-0.3461099]
[-0.085402]	[-0.99634658]	[-0.82663295]	[-0.32509649]
[-0.21269113]	[-0.97711948]	[-0.93990979]	[-0.29071361]
[-0.32942022]	[-0.94418341]	[-1.04536331]	[-0.24602477]
[-0.43280203]	[-0.90148899]	[-1.14020064]	[-0.19467417]
[-0.52919829]	[-0.84849819]	[-1.24342336]	[-0.14858209]
[-0.60905736]	[-0.79312618]	[-1.33225852]	[-0.10248873]
[-0.67268568]	[-0.73992836]	[-1.40605023]	[-0.06009276]
[-0.72105717]	[-0.69287557]	[-1.46475028]	[-0.02435441]
[-0.75544478]	[-0.65521232]	[-1.50868258]	[ 0.00253597]
[-0.77708194]	[-0.62939944]	[-1.53829642]	[ 0.01910076]
[-0.78688269]	[-0.61710261]	[-1.55393639]	[ 0.02448029]
[-0.78523866]	[-0.61919322]	[-1.55565719]	[ 0.01834525]
[-0.77190626]	[-0.63573636]	[-1.54311289]	[ 0.00084854]
[-0.74599461]	[-0.66595198]	[-1.51554554]	[-0.02736655]
[-0.70606215]	[-0.70814987]	[-1.47188878]	[-0.06510277]
[-0.65032475]	[-0.75965632]	[-1.41098606]	[-0.11050736]
[-0.5769693]	[-0.81676584]	[-1.33190422]	[-0.16096613]
[-0.48455504]	[-0.87476077]	[-1.23430393]	[-0.21303832]
[-0.37246991]	[-0.92804427]	[-1.11881414]	[-0.26248414]
[-0.24139331]	[-0.97042736]	[-0.98735191]	[-0.30443505]
[-0.09369577]	[-0.99560088]	[-0.84332586]	[-0.33374386]
[ 0.06632182]	[-0.99779828]	[-0.69165832]	[-0.34552065]
[ 0.23247114]	[-0.97260329]	[-0.53855931]	[-0.33580502]
[ 0.3971138]	[-0.91776938]	[-0.39100729]	[-0.30224915]
[ 0.55202288]	[-0.83382896]	[-0.2559591]	[-0.24462177]
[ 0.68954115]	[-0.72424651]	[-0.13942107]	[-0.16494191]
[ 0.8037444]	[-0.59497473]	[-0.04560923]	[-0.06715052]
[ 0.88788385]	[-0.46006768]	[ 0.01180748]	[ 0.02210468]
[ 0.94447417]	[-0.32858566]	[ 0.03862696]	[ 0.09501891]
[ 0.97898224]	[-0.2039455]	[ 0.04624546]	[ 0.15661252]
[ 0.99588244]	[-0.09065412]	[ 0.03996086]	[ 0.20296797]
[ 0.99996378]	[ 0.00851162]	[ 0.02515202]	[ 0.23154087]
[ 0.99574121]	[ 0.09219246]	[ 0.00687028]	[ 0.24096844]
[ 0.98711157]	[ 0.16003356]	[-0.01038077]	[ 0.23080808]
[ 0.97720861]	[ 0.21228126]	[-0.02273093]	[ 0.20128543]
[ 0.96838874]	[ 0.2494459]	[-0.02695802]	[ 0.15308804]
[ 0.96228389]	[ 0.27204728]	[-0.02048505]	[ 0.08720894]
[ 0.95987215]	[ 0.28043797]	[-0.00139692]	[ 0.00482635]
[ 0.96153192]	[ 0.27469323]	[ 0.0315058]	[-0.0928002]
[ 0.96705698]	[ 0.25456]	[ 0.07861648]	[-0.2044318]
[ 0.9756202]	[ 0.21946576]	[ 0.13941476]	[-0.32895057]
[ 0.98568489]	[ 0.16859804]	[ 0.21237806]	[-0.46543393]
[ 0.99487928]	[ 0.10107037]	[ 0.29495902]	[-0.61315063]
[ 0.999869]	[ 0.01618613]	[ 0.38367067]	[-0.7714049]
[ 0.99627751]	[-0.08620401]	[ 0.47429104]	[-0.93915777]
[ 0.97870437]	[-0.20527483]	[ 0.56214686]	[-1.1143842]
[ 0.94087417]	[-0.33875626]	[ 0.64237937]	[-1.29316752]
[ 0.87594117]	[-0.48241794]	[ 0.71006239]	[-1.46856409]
[ 0.77346335]	[-0.63384102]	[ 0.76658872]	[-1.63381739]
[ 0.6240589]	[-0.7813773]	[ 0.80386113]	[-1.76508008]
[ 0.42137106]	[-0.90688832]	[ 0.81030389]	[-1.82815444]
[ 0.16884954]	[-0.98564184]	[ 0.77123569]	[-1.78384665]
[-0.11132997]	[-0.9937835]	[ 0.67636364]	[-1.60985068]
[-0.3820977]	[-0.92412193]	[ 0.53348202]	[-1.32625845]
[-0.61419073]	[-0.78915762]	[ 0.36765734]	[-0.97882669]
[-0.79486377]	[-0.60678792]	[ 0.20512773]	[-0.60266608]
[-0.91932615]	[-0.39349643]	[ 0.06494344]	[-0.21682333]
[-0.98621077]	[-0.16549414]	[-0.04328703]	[ 0.16751458]
[-0.99812332]	[ 0.06123585]	[-0.12091405]	[ 0.54134406]
[-0.96179474]	[ 0.27377158]	[-0.1785457]	[ 0.89547967]
[-0.88548746]	[ 0.46466328]	[-0.22989907]	[ 1.21978172]
