6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[-0.00341463]	[-0.99999417]	[ 0.0019512]	[-1.99997977]
[-0.01024372]	[-0.99994753]	[ 0.00585314]	[-1.99981797]
[-0.020412]	[-0.99979165]	[ 0.01169505]	[-1.99927609]
[-0.03376658]	[-0.99942975]	[ 0.01945258]	[-1.9980126]
[-0.05007493]	[-0.99874546]	[ 0.02908352]	[-1.99560751]
[-0.06902419]	[-0.99761499]	[ 0.04052321]	[-1.99159656]
[-0.09022315]	[-0.99592157]	[ 0.05368103]	[-1.9855132]
[-0.11320824]	[-0.99357128]	[ 0.06843901]	[-1.97693504]
[-0.13745443]	[-0.99050809]	[ 0.08465378]	[-1.96553012]
[-0.16239134]	[-0.98672643]	[ 0.10216203]	[-1.95109748]
[-0.18742378]	[-0.98227915]	[ 0.12078954]	[-1.93359642]
[-0.2119548]	[-0.97727947]	[ 0.14036239]	[-1.91316012]
[-0.23540886]	[-0.97189643]	[ 0.1607188]	[-1.89009188]
[-0.25725232]	[-0.96634427]	[ 0.18171976]	[-1.86484497]
[-0.27700914]	[-0.96086728]	[ 0.20325679]	[-1.83799021]
[-0.29427074]	[-0.9557221]	[ 0.22525604]	[-1.81017626]
[-0.30869992]	[-0.95115948]	[ 0.24767843]	[-1.78208856]
[-0.32002996]	[-0.94740742]	[ 0.27051636]	[-1.75441116]
[-0.32806036]	[-0.94465676]	[ 0.29378771]	[-1.72779467]
[-0.33265085]	[-0.94305006]	[ 0.31752777]	[-1.70283144]
[-0.33371524]	[-0.94267393]	[ 0.34178006]	[-1.68003823]
[-0.331216]	[-0.94355496]	[ 0.3665862]	[-1.65984547]
[-0.32516044]	[-0.94565886]	[ 0.39197554]	[-1.64259214]
[-0.31559855]	[-0.94889281]	[ 0.41795451]	[-1.628525]
[-0.30262249]	[-0.9531105]	[ 0.44449624]	[-1.61780111]
[-0.2863674]	[-0.95811988]	[ 0.47153067]	[-1.61049287]
