6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[-0.26701296]	[-0.96369294]	[ 0.49893572]	[-1.60659465]
[-0.24478512]	[-0.96957735]	[ 0.52653012]	[-1.60603064]
[-0.21995747]	[-0.97550946]	[ 0.5540685]	[-1.60866331]
[-0.19285159]	[-0.98122794]	[ 0.58123955]	[-1.6143021]
[-0.16383615]	[-0.98648757]	[ 0.60766772]	[-1.62271219]
[-0.13332435]	[-0.99107246]	[ 0.63291903]	[-1.63362291]
[-0.10176979]	[-0.99480798]	[ 0.65651102]	[-1.64673605]
[-0.06966076]	[-0.99757074]	[ 0.67792686]	[-1.66173393]
[-0.03751321]	[-0.99929613]	[ 0.69663305]	[-1.67828749]
[-0.00586265]	[-0.99998281]	[ 0.71209974]	[-1.69606471]
[ 0.02474471]	[-0.9996938]	[ 0.72382257]	[-1.71473936]
[ 0.05376127]	[-0.99855382]	[ 0.73134437]	[-1.73400004]
[ 0.08064761]	[-0.99674268]	[ 0.73427495]	[-1.75355923]
[ 0.10488192]	[-0.99448468]	[ 0.73230733]	[-1.77316135]
[ 0.12596928]	[-0.99203414]	[ 0.72522889]	[-1.7925889]
[ 0.14345023]	[-0.98965753]	[ 0.71292658]	[-1.81166525]
[ 0.15690876]	[-0.9876131]	[ 0.69538584]	[-1.83025326]
[ 0.16597937]	[-0.98612923]	[ 0.67268416]	[-1.84824885]
[ 0.17035347]	[-0.98538302]	[ 0.6449806]	[-1.86556998]
[ 0.16978544]	[-0.98548105]	[ 0.61250338]	[-1.88214198]
[ 0.16409877]	[-0.98644391]	[ 0.57553776]	[-1.89788122]
[ 0.1531929]	[-0.9881963]	[ 0.53441598]	[-1.91267938]
[ 0.13705119]	[-0.99056397]	[ 0.48951077]	[-1.926391]
[ 0.11574994]	[-0.99327839]	[ 0.44123251]	[-1.93882643]
[ 0.08946805]	[-0.99598969]	[ 0.39002981]	[-1.94975205]
[ 0.05849601]	[-0.99828764]	[ 0.33639217]	[-1.95889876]
[ 0.0232426]	[-0.99972985]	[ 0.28085297]	[-1.96597873]
[-0.01576281]	[-0.99987576]	[ 0.22399092]	[-1.9707095]
[-0.05787441]	[-0.99832387]	[ 0.16642817]	[-1.97284342]
[-0.10234214]	[-0.99474926]	[ 0.10882379]	[-1.97219949]
[-0.14833246]	[-0.98893755]	[ 0.05186233]	[-1.96869367]
[-0.19495705]	[-0.98081178]	[-0.00376222]	[-1.96236388]
[-0.24130735]	[-0.97044874]	[-0.05736558]	[-1.95338588]
[-0.28649147]	[-0.95808279]	[-0.10829321]	[-1.9420774]
[-0.32966958]	[-0.94409638]	[-0.15593903]	[-1.9288896]
[-0.37008369]	[-0.92899842]	[-0.19976031]	[-1.91438664]
[-0.40707867]	[-0.9133931]	[-0.23928736]	[-1.89921564]
[-0.44011279]	[-0.8979425]	[-0.27412718]	[-1.88407068]
[-0.46596723]	[-0.88480198]	[-0.30615449]	[-1.87194932]
[-0.48445414]	[-0.87481666]	[-0.33518942]	[-1.86361393]
[-0.49544858]	[-0.86863727]	[-0.36106481]	[-1.85956664]
[-0.49884862]	[-0.86668914]	[-0.38360488]	[-1.86002638]
[-0.49454849]	[-0.86915004]	[-0.40260875]	[-1.86491461]
[-0.48242832]	[-0.87593545]	[-0.41784113]	[-1.87384752]
[-0.462363]	[-0.88669073]	[-0.42903114]	[-1.88613507]
[-0.43425138]	[-0.90079173]	[-0.43588028]	[-1.9007904]
[-0.39806508]	[-0.91735718]	[-0.43807955]	[-1.91655628]
[-0.35391395]	[-0.93527799]	[-0.4353354]	[-1.93195775]
[-0.30212104]	[-0.95326957]	[-0.42740391]	[-1.94539063]
[-0.24329514]	[-0.96995231]	[-0.4141312]	[-1.95525177]
[-0.18171617]	[-0.98335102]	[-0.39362039]	[-1.96064146]
[-0.11881758]	[-0.9929161]	[-0.36627148]	[-1.96181577]
[-0.05612193]	[-0.99842392]	[-0.33265027]	[-1.95942969]
[ 0.00485766]	[-0.9999882]	[-0.29343857]	[-1.95446154]
[ 0.06270538]	[-0.99803208]	[-0.24937016]	[-1.94808937]
[ 0.11616499]	[-0.99322993]	[-0.2011657]	[-1.94154487]
[ 0.1641709]	[-0.98643191]	[-0.14947985]	[-1.93597033]
[ 0.20585122]	[-0.9785833]	[-0.09486999]	[-1.93229539]
[ 0.24051057]	[-0.97064652]	[-0.03779114]	[-1.93114022]
[ 0.26760186]	[-0.96352958]	[ 0.0213835]	[-1.93274396]
[ 0.28669503]	[-0.9580219]	[ 0.08231971]	[-1.9369145]
[ 0.30051207]	[-0.95377801]	[ 0.14267282]	[-1.94124283]
[ 0.30883926]	[-0.95111425]	[ 0.20191666]	[-1.94538159]
[ 0.31154154]	[-0.95023253]	[ 0.25948379]	[-1.94887661]
[ 0.30856364]	[-0.9512037]	[ 0.3147587]	[-1.95118451]
[ 0.29677952]	[-0.95494603]	[ 0.3691436]	[-1.95232431]
[ 0.27618404]	[-0.96110477]	[ 0.42176413]	[-1.95045124]
[ 0.24693623]	[-0.96903173]	[ 0.47153856]	[-1.94348224]
[ 0.20943099]	[-0.97782343]	[ 0.51720401]	[-1.92928324]
[ 0.16437028]	[-0.98639871]	[ 0.55739581]	[-1.90592627]
[ 0.11280604]	[-0.99361703]	[ 0.59078539]	[-1.8719881]
[ 0.05612501]	[-0.99842375]	[ 0.61626173]	[-1.82682393]
[-0.00404045]	[-0.99999184]	[ 0.63311531]	[-1.7707269]
[-0.06596106]	[-0.9978222]	[ 0.64116846]	[-1.70490623]
[-0.12797516]	[-0.99177737]	[ 0.64080926]	[-1.6312854]
[-0.18861913]	[-0.98205032]	[ 0.63292451]	[-1.55219595]
[-0.24669587]	[-0.96909295]	[ 0.61876482]	[-1.47006979]
[-0.30128331]	[-0.95353467]	[ 0.59978829]	[-1.38720504]
[-0.35170437]	[-0.93611112]	[ 0.57751899]	[-1.30562965]
[-0.39748114]	[-0.91761035]	[ 0.55343821]	[-1.2270492]
[-0.43425903]	[-0.90078804]	[ 0.5308689]	[-1.16256671]
[-0.46238579]	[-0.88667885]	[ 0.51156271]	[-1.11344818]
[-0.48213464]	[-0.87609713]	[ 0.4967556]	[-1.08048376]
[-0.49368145]	[-0.86964281]	[ 0.48722277]	[-1.06413423]
[-0.49709341]	[-0.86769703]	[ 0.48332698]	[-1.06461293]
[-0.49232347]	[-0.87041232]	[ 0.48505328]	[-1.08191809]
[-0.47920914]	[-0.87770075]	[ 0.49202549]	[-1.11582529]
[-0.46098243]	[-0.88740926]	[ 0.50205224]	[-1.15678675]
[-0.43758653]	[-0.89917631]	[ 0.51469403]	[-1.20440039]
[-0.40712474]	[-0.91337257]	[ 0.52992982]	[-1.26255555]
[-0.36940396]	[-0.92926891]	[ 0.54668258]	[-1.33024951]
[-0.32425419]	[-0.94596999]	[ 0.56359501]	[-1.40610454]
[-0.27156107]	[-0.96242121]	[ 0.5790198]	[-1.48826547]
[-0.21131225]	[-0.97741861]	[ 0.59103369]	[-1.57427787]
[-0.14366512]	[-0.98962636]	[ 0.59749095]	[-1.66095912]
[-0.06904581]	[-0.99761349]	[ 0.59613608]	[-1.74429485]
[ 0.01171375]	[-0.99993139]	[ 0.58479979]	[-1.81942659]
[ 0.09720848]	[-0.99526404]	[ 0.56169758]	[-1.88084288]
[ 0.18530734]	[-0.98268061]	[ 0.52582175]	[-1.92291991]
[ 0.27311785]	[-0.96198058]	[ 0.47734239]	[-1.94090465]
[ 0.35403761]	[-0.93523118]	[ 0.41998166]	[-1.93305451]
[ 0.42497306]	[-0.905206]	[ 0.35681674]	[-1.90288065]
[ 0.48385938]	[-0.87514576]	[ 0.29089151]	[-1.85635083]
[ 0.52980264]	[-0.84812096]	[ 0.2245886]	[-1.80040474]
[ 0.56280652]	[-0.82658866]	[ 0.1593762]	[-1.74159903]
[ 0.58333863]	[-0.81222906]	[ 0.09586999]	[-1.68536955]
[ 0.5919627]	[-0.80596536]	[ 0.03402468]	[-1.63584798]
[ 0.58911587]	[-0.80804857]	[-0.02666828]	[-1.59596347]
[ 0.57501608]	[-0.81814211]	[-0.08701039]	[-1.56762257]
[ 0.54966172]	[-0.83538733]	[-0.14794217]	[-1.55187097]
[ 0.51289137]	[-0.85845352]	[-0.21038641]	[-1.54901073]
[ 0.46448052]	[-0.88558333]	[-0.27507755]	[-1.55867609]
[ 0.40425824]	[-0.91464489]	[-0.34237768]	[-1.57987778]
[ 0.33222916]	[-0.9431987]	[-0.41209068]	[-1.61102201]
[ 0.24868997]	[-0.96858314]	[-0.48329484]	[-1.64990409]
[ 0.1568993]	[-0.98761461]	[-0.55475248]	[-1.69014698]
[ 0.05830932]	[-0.99829856]	[-0.62417853]	[-1.7291955]
[-0.04515802]	[-0.99897986]	[-0.68883806]	[-1.76427457]
[-0.15112161]	[-0.98851518]	[-0.74575572]	[-1.79251162]
[-0.25679505]	[-0.96646588]	[-0.79203028]	[-1.81116893]
[-0.35911747]	[-0.93329237]	[-0.82523277]	[-1.81801635]
[-0.45499831]	[-0.8904923]	[-0.84381502]	[-1.81180743]
[-0.54167511]	[-0.84058793]	[-0.84739597]	[-1.79270912]
[-0.61709854]	[-0.78688588]	[-0.83678452]	[-1.76245652]
[-0.68264639]	[-0.73074886]	[-0.81090535]	[-1.72248958]
[-0.73752784]	[-0.67531673]	[-0.77138172]	[-1.67474352]
[-0.77978005]	[-0.62605358]	[-0.72334115]	[-1.62445963]
[-0.8105766]	[-0.58563263]	[-0.66907181]	[-1.5755702]
[-0.83120868]	[-0.55596055]	[-0.61035657]	[-1.53126786]
[-0.84277609]	[-0.53826431]	[-0.54844533]	[-1.49396793]
[-0.84599385]	[-0.53319266]	[-0.48408041]	[-1.46540436]
[-0.8410944]	[-0.54088836]	[-0.41753246]	[-1.4467555]
[-0.82780361]	[-0.56101799]	[-0.34863842]	[-1.43874273]
[-0.80537754]	[-0.59276219]	[-0.27685216]	[-1.44167969]
[-0.77269447]	[-0.63477812]	[-0.20132461]	[-1.45547081]
[-0.72840009]	[-0.68515204]	[-0.12102994]	[-1.47957101]
[-0.6711019]	[-0.74136512]	[-0.0349472]	[-1.51292665]
[-0.59960232]	[-0.8002981]	[ 0.05770456]	[-1.55392113]
[-0.51315062]	[-0.85829857]	[ 0.15719562]	[-1.60034703]
[-0.41168553]	[-0.91132597]	[ 0.26301359]	[-1.64941885]
[-0.29603676]	[-0.95517655]	[ 0.3736385]	[-1.6978306]
[-0.16805984]	[-0.98577679]	[ 0.48641992]	[-1.74185631]
[-0.03068985]	[-0.99952896]	[ 0.59761069]	[-1.77749967]
[ 0.11209299]	[-0.99369772]	[ 0.70260584]	[-1.80072596]
[ 0.25540716]	[-0.96683359]	[ 0.79642407]	[-1.8078453]
[ 0.3937829]	[-0.91920348]	[ 0.8744333]	[-1.79611578]
[ 0.52172877]	[-0.85311142]	[ 0.93322061]	[-1.76452486]
[ 0.63455568]	[-0.77287715]	[ 0.97133265]	[-1.7144616]
[ 0.7292318]	[-0.68426675]	[ 0.98950584]	[-1.64980153]
[ 0.8048506]	[-0.59347747]	[ 0.99020916]	[-1.57614843]
[ 0.86245616]	[-0.50613177]	[ 0.97677159]	[-1.49957627]
[ 0.90439392]	[-0.42669854]	[ 0.95258101]	[-1.42553687]
[ 0.93356983]	[-0.35839556]	[ 0.92061989]	[-1.3583117]
[ 0.95287165]	[-0.30337372]	[ 0.8832997]	[-1.30095065]
[ 0.96480055]	[-0.26298268]	[ 0.84244859]	[-1.25546945]
[ 0.97126247]	[-0.23801097]	[ 0.7993449]	[-1.22312231]
[ 0.97345863]	[-0.22886305]	[ 0.754748]	[-1.20465281]
[ 0.97183432]	[-0.23566511]	[ 0.7089147]	[-1.20048285]
[ 0.96606468]	[-0.25830026]	[ 0.66160601]	[-1.21082581]
[ 0.95507142]	[-0.29637576]	[ 0.61209706]	[-1.23572052]
[ 0.93707495]	[-0.34912826]	[ 0.55920783]	[-1.2749881]
[ 0.90969434]	[-0.41527848]	[ 0.50137615]	[-1.32811815]
[ 0.8701113]	[-0.49285527]	[ 0.43679573]	[-1.39409753]
[ 0.81531307]	[-0.57902038]	[ 0.36363735]	[-1.47120256]
[ 0.74241982]	[-0.66993493]	[ 0.28035898]	[-1.55678317]
[ 0.64908727]	[-0.76071395]	[ 0.18608821]	[-1.64707271]
[ 0.53395822]	[-0.84551086]	[ 0.08103118]	[-1.73705844]
[ 0.39712661]	[-0.91776383]	[-0.03316735]	[-1.82045265]
[ 0.24057825]	[-0.97062975]	[-0.15321287]	[-1.8898297]
[ 0.0685662]	[-0.99764657]	[-0.27421597]	[-1.93706149]
[-0.11218044]	[-0.99368785]	[-0.39014144]	[-1.95428021]
[-0.29267474]	[-0.95621206]	[-0.49474714]	[-1.93558264]
[-0.4627345]	[-0.88649692]	[-0.58291666]	[-1.87924877]
[-0.61304265]	[-0.79004981]	[-0.65187273]	[-1.78929564]
[-0.73740492]	[-0.67545095]	[-0.7015157]	[-1.67480672]
[-0.83378061]	[-0.55209592]	[-0.73371015]	[-1.54707627]
[-0.90364662]	[-0.42827887]	[-0.75123004]	[-1.41659521]
[-0.95060926]	[-0.31039012]	[-0.75704969]	[-1.29147865]
[-0.97919273]	[-0.2029325]	[-0.75404649]	[-1.17725749]
[-0.99405884]	[-0.10884403]	[-0.74489551]	[-1.07730551]
[-0.99955396]	[-0.02986445]	[-0.73200524]	[-0.99340879]
[-0.99945116]	[ 0.03312685]	[-0.71745267]	[-0.926288]
[-0.99680981]	[ 0.07981358]	[-0.70292267]	[-0.87602655]
[-0.99391037]	[ 0.11019153]	[-0.68966163]	[-0.84240109]
[-0.99223561]	[ 0.12437241]	[-0.67844727]	[-0.82512054]
[-0.99247469]	[ 0.12244994]	[-0.6695698]	[-0.82398148]
[-0.99453193]	[ 0.10443298]	[-0.66281789]	[-0.83894701]
[-0.99752954]	[ 0.07024818]	[-0.65746593]	[-0.87015425]
[-0.99980369]	[ 0.01981347]	[-0.65226549]	[-0.91785235]
[-0.99890348]	[-0.04681709]	[-0.6454515]	[-0.98226975]
[-0.99161341]	[-0.12923947]	[-0.63478203]	[-1.06340828]
[-0.9740283]	[-0.22642632]	[-0.61763666]	[-1.16076299]
[-0.94171376]	[-0.3364152]	[-0.59119948]	[-1.27297259]
[-0.88998264]	[-0.45599441]	[-0.55274497]	[-1.39741395]
[-0.8143066]	[-0.58043497]	[-0.50002436]	[-1.52976456]
[-0.71087022]	[-0.7033232]	[-0.43171911]	[-1.66357039]
[-0.57727336]	[-0.81655096]	[-0.34789398]	[-1.78988806]
[-0.41340686]	[-0.91054641]	[-0.25035481]	[-1.89716388]
[-0.22252899]	[-0.97492607]	[-0.14279761]	[-1.97174246]
[-0.01240326]	[-0.99992308]	[-0.03060906]	[-1.99975734]
[ 0.2009554]	[-0.97960039]	[ 0.08179982]	[-1.97247599]
[ 0.40208548]	[-0.91560213]	[ 0.18866388]	[-1.89256233]
[ 0.57784974]	[-0.81614317]	[ 0.28575966]	[-1.77253398]
[ 0.72308808]	[-0.69075584]	[ 0.36824109]	[-1.62568023]
[ 0.83483029]	[-0.5505074]	[ 0.43488587]	[-1.46704679]
[ 0.91421886]	[-0.40522076]	[ 0.48587933]	[-1.30883863]
[ 0.96485268]	[-0.26279138]	[ 0.52259104]	[-1.15967746]
[ 0.99162417]	[-0.12915692]	[ 0.54733325]	[-1.02503949]
[ 0.99996439]	[-0.00843923]	[ 0.56303859]	[-0.90793678]
[ 0.99529944]	[ 0.09684532]	[ 0.57288607]	[-0.80955798]
[ 0.98264413]	[ 0.1855007]	[ 0.57994958]	[-0.72983372]
[ 0.96633002]	[ 0.25730584]	[ 0.58693191]	[-0.66792769]
[ 0.94986688]	[ 0.31265463]	[ 0.59600881]	[-0.6226445]
[ 0.93591361]	[ 0.35222964]	[ 0.60877124]	[-0.59274543]
[ 0.92631856]	[ 0.37674119]	[ 0.62623513]	[-0.57717177]
[ 0.92218776]	[ 0.38674247]	[ 0.64888417]	[-0.57518536]
[ 0.9239483]	[ 0.38251737]	[ 0.67671877]	[-0.58643957]
[ 0.93138614]	[ 0.36403278]	[ 0.70929317]	[-0.61099271]
[ 0.94364893]	[ 0.33094819]	[ 0.74573243]	[-0.6492707]
[ 0.95921414]	[ 0.28268044]	[ 0.78472858]	[-0.70197929]
[ 0.97583099]	[ 0.2185266]	[ 0.82452179]	[-0.76995988]
[ 0.99045293]	[ 0.13785138]	[ 0.86287843]	[-0.85397761]
[ 0.99918577]	[ 0.04034592]	[ 0.89708329]	[-0.95442796]
[ 0.99728493]	[-0.07363939]	[ 0.92396682]	[-1.070948]
[ 0.97924221]	[-0.20269358]	[ 0.93998795]	[-1.20192283]
[ 0.93900949]	[-0.34389124]	[ 0.94138724]	[-1.34388841]
[ 0.87041735]	[-0.49231457]	[ 0.924415]	[-1.49085563]
[ 0.76787416]	[-0.64060071]	[ 0.88563433]	[-1.63364278]
[ 0.6274839]	[-0.77862954]	[ 0.8223194]	[-1.75946547]
[ 0.44875211]	[-0.89365628]	[ 0.73303331]	[-1.85239722]
[ 0.23366847]	[-0.97231633]	[ 0.62013598]	[-1.89461935]
[-0.00580668]	[-0.99998314]	[ 0.48676763]	[-1.87025353]
[-0.25000039]	[-0.96824574]	[ 0.34061548]	[-1.77519858]
[-0.47161911]	[-0.88180237]	[ 0.19130329]	[-1.63049048]
[-0.65749975]	[-0.75345476]	[ 0.05085634]	[-1.45931003]
[-0.80355818]	[-0.59522621]	[-0.07075967]	[-1.27567191]
[-0.90763234]	[-0.41976605]	[-0.16844525]	[-1.09326619]
[-0.97108911]	[-0.23871729]	[-0.2409019]	[-0.92196442]
[-0.99806987]	[-0.06210104]	[-0.29016212]	[-0.76840594]
[-0.99475128]	[ 0.10232245]	[-0.32068515]	[-0.63634856]
[-0.96838864]	[ 0.24944627]	[-0.33820027]	[-0.52699601]
[-0.92631255]	[ 0.37675596]	[-0.3485963]	[-0.43948171]
[-0.87514158]	[ 0.48386694]	[-0.35710331]	[-0.3714905]
[-0.82034427]	[ 0.57186998]	[-0.36785017]	[-0.31989741]
[-0.7661258]	[ 0.64269065]	[-0.38374342]	[-0.28131353]
[-0.7155317]	[ 0.69858027]	[-0.40655596]	[-0.25248965]
[-0.67065544]	[ 0.74176902]	[-0.43712041]	[-0.23057937]
[-0.63286742]	[ 0.77426018]	[-0.47555502]	[-0.21328871]
[-0.60301979]	[ 0.79772622]	[-0.52148084]	[-0.19894393]
[-0.58160828]	[ 0.813469]	[-0.57421138]	[-0.18650364]
[-0.56888821]	[ 0.82241486]	[-0.63290717]	[-0.17553382]
[-0.56494944]	[ 0.82512552]	[-0.69669326]	[-0.16615827]
[-0.56975701]	[ 0.82181321]	[-0.76473968]	[-0.15899348]
[-0.58316376]	[ 0.81235462]	[-0.83630538]	[-0.15507461]
[-0.60489944]	[ 0.79630187]	[-0.91074733]	[-0.15577852]
[-0.63453849]	[ 0.77289127]	[-0.98749674]	[-0.1627478]
[-0.67144656]	[ 0.74105298]	[-1.06600483]	[-0.17781794]
[-0.71470413]	[ 0.69942691]	[-1.14566083]	[-0.2029457]
[-0.76300476]	[ 0.64639287]	[-1.22568405]	[-0.24013286]
[-0.81452595]	[ 0.58012711]	[-1.30499149]	[-0.29133347]
[-0.86677345]	[ 0.4987021]	[-1.3820419]	[-0.35832673]
[-0.9164051]	[ 0.40025203]	[-1.45465842]	[-0.44253108]
[-0.95905113]	[ 0.28323301]	[-1.51983508]	[-0.54472917]
[-0.98916438]	[ 0.14681225]	[-1.57354042]	[-0.66467074]
[-0.99996322]	[-0.00857712]	[-1.61054812]	[-0.80052792]
[-0.98357736]	[-0.18048703]	[-1.62436026]	[-0.94820917]
[-0.93158449]	[-0.36352487]	[-1.60736398]	[-1.10062872]
[-0.83622192]	[-0.54839119]	[-1.55149602]	[-1.24723521]
[-0.69256247]	[-0.7213579]	[-1.44983535]	[-1.37445651]
[-0.50443004]	[-0.86345257]	[-1.29908884]	[-1.4705089]
[-0.28192607]	[-0.95943613]	[-1.10504095]	[-1.52731103]
[-0.0346032]	[-0.99940113]	[-0.87909104]	[-1.53497586]
[ 0.2151586]	[-0.97657912]	[-0.63719489]	[-1.49954521]
[ 0.44850754]	[-0.89377905]	[-0.39589433]	[-1.42948931]
[ 0.64987166]	[-0.76004396]	[-0.16817498]	[-1.33519584]
[ 0.80826623]	[-0.5888172]	[ 0.03843367]	[-1.2270631]
[ 0.91823231]	[-0.39604221]	[ 0.22224051]	[-1.11409195]
[ 0.98023013]	[-0.19786079]	[ 0.38647317]	[-1.00250523]
[ 0.9999659]	[-0.00825852]	[ 0.53724497]	[-0.89476252]
[ 0.98669433]	[ 0.16258629]	[ 0.68102154]	[-0.78955033]
[ 0.95112542]	[ 0.30880486]	[ 0.82245747]	[-0.68288287]
[ 0.90362405]	[ 0.42832648]	[ 0.96325069]	[-0.56989427]
[ 0.85305427]	[ 0.5218222]	[ 1.10216682]	[-0.44665235]
[ 0.80626347]	[ 0.59155661]	[ 1.23594273]	[-0.31142496]
[ 0.76802585]	[ 0.64041884]	[ 1.36055735]	[-0.16512845]
[ 0.74263197]	[ 0.66969975]	[ 1.47637237]	[-0.00973017]
[ 0.73182512]	[ 0.68149248]	[ 1.57954046]	[ 0.15104107]
[ 0.73598248]	[ 0.67700058]	[ 1.66701142]	[ 0.31205524]
[ 0.75436363]	[ 0.65645679]	[ 1.73635134]	[ 0.46751199]
[ 0.78195096]	[ 0.62333995]	[ 1.78181104]	[ 0.60661224]
[ 0.81627848]	[ 0.57765859]	[ 1.80548512]	[ 0.7241858]
[ 0.85465465]	[ 0.5191969]	[ 1.80945075]	[ 0.81645842]
[ 0.8942009]	[ 0.4476659]	[ 1.79551849]	[ 0.88082476]
[ 0.93184722]	[ 0.36285089]	[ 1.76514387]	[ 0.91567697]
[ 0.96431623]	[ 0.26475311]	[ 1.71944138]	[ 0.92033377]
[ 0.98811443]	[ 0.1537201]	[ 1.65923551]	[ 0.89506786]
[ 0.9995327]	[ 0.03056782]	[ 1.58509078]	[ 0.84119827]
[ 0.99465214]	[-0.10328174]	[ 1.497296]	[ 0.76121184]
[ 0.96936954]	[-0.24560679]	[ 1.39583055]	[ 0.65889915]
[ 0.91949448]	[-0.39310292]	[ 1.28038496]	[ 0.53950529]
[ 0.83840417]	[-0.54504904]	[ 1.13995278]	[ 0.40840177]
[ 0.72114458]	[-0.6927846]	[ 0.97345143]	[ 0.27486268]
[ 0.56492919]	[-0.82513939]	[ 0.78145169]	[ 0.15113824]
[ 0.37068566]	[-0.92875839]	[ 0.56702388]	[ 0.05177785]
[ 0.14480892]	[-0.98945964]	[ 0.33671855]	[-0.00804704]
[-0.09973696]	[-0.99501384]	[ 0.10102335]	[-0.01537345]
[-0.34424661]	[-0.93887926]	[-0.12659481]	[ 0.03714722]
[-0.56772999]	[-0.82321483]	[-0.3324166]	[ 0.14870472]
[-0.7519928]	[-0.65917132]	[-0.50605985]	[ 0.31011552]
[-0.88589975]	[-0.46387674]	[-0.64311222]	[ 0.50620275]
[-0.96676957]	[-0.25564937]	[-0.74543486]	[ 0.71954853]
[-0.99858071]	[-0.05325951]	[-0.81209113]	[ 0.92919743]
[-0.99117894]	[ 0.13253043]	[-0.85192865]	[ 1.12278765]
