6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[ 0.01707234]	[-0.99985426]	[-0.00975371]	[-1.99949437]
[ 0.05119712]	[-0.99868857]	[-0.02920381]	[-1.99545117]
[ 0.10184837]	[-0.99479993]	[-0.0579835]	[-1.98194419]
[ 0.16769328]	[-0.98583922]	[-0.09502503]	[-1.9507118]
[ 0.24620594]	[-0.96921754]	[-0.13810963]	[-1.89241932]
[ 0.30246698]	[-0.95315986]	[-0.16951692]	[-1.83476703]
[ 0.33705072]	[-0.94148649]	[-0.19157408]	[-1.79034209]
[ 0.35109835]	[-0.93633859]	[-0.20642689]	[-1.76649858]
[ 0.34541129]	[-0.93845141]	[-0.21538695]	[-1.7664039]
[ 0.32010939]	[-0.94738059]	[-0.21867309]	[-1.78982551]
[ 0.2745957]	[-0.96155978]	[-0.21536088]	[-1.83330661]
[ 0.2077153]	[-0.97818932]	[-0.20349385]	[-1.88973035]
[ 0.11815292]	[-0.99299541]	[-0.18043244]	[-1.94737834]
[ 0.03644152]	[-0.99933579]	[-0.1617438]	[-1.97950036]
[-0.03316791]	[-0.99944979]	[-0.14919163]	[-1.99269624]
[-0.08744524]	[-0.99616933]	[-0.14401189]	[-1.99456815]
[-0.12435048]	[-0.99223836]	[-0.14690437]	[-1.99198399]
[-0.14278518]	[-0.9897537]	[-0.15816426]	[-1.98963544]
[-0.14218445]	[-0.98984018]	[-0.17781696]	[-1.98920514]
[-0.12221638]	[-0.99250348]	[-0.20562061]	[-1.98901928]
[-0.08273119]	[-0.9965719]	[-0.24087096]	[-1.98398864]
[-0.02400838]	[-0.99971176]	[-0.28201691]	[-1.9658544]
[ 0.05271651]	[-0.99860952]	[-0.32618906]	[-1.92404486]
[ 0.11118932]	[-0.99379924]	[-0.35604289]	[-1.87793388]
[ 0.18254981]	[-0.98319661]	[-0.38561655]	[-1.80611032]
[ 0.23292221]	[-0.97249537]	[-0.40347032]	[-1.74386075]
[ 0.26317956]	[-0.96474687]	[-0.4135494]	[-1.70097911]
[ 0.27438067]	[-0.96162116]	[-0.41854572]	[-1.6826295]
[ 0.2671509]	[-0.96365471]	[-0.41960552]	[-1.69054234]
[ 0.24148113]	[-0.97040552]	[-0.41628823]	[-1.72362492]
[ 0.1967326]	[-0.98045718]	[-0.40663867]	[-1.77791759]
[ 0.13178921]	[-0.99127776]	[-0.38738219]	[-1.84594791]
[ 0.07463894]	[-0.99721062]	[-0.36846087]	[-1.89368291]
[ 0.02817393]	[-0.99960304]	[-0.35175154]	[-1.92462014]
[-0.00522884]	[-0.99998633]	[-0.33882377]	[-1.94270284]
[-0.02383645]	[-0.99971587]	[-0.33081623]	[-1.95143191]
[-0.02654393]	[-0.99964765]	[-0.32837625]	[-1.95300868]
[-0.01279117]	[-0.99991819]	[-0.33164016]	[-1.94772372]
[ 0.0174791]	[-0.99984723]	[-0.34020408]	[-1.93369023]
[ 0.06374951]	[-0.99796593]	[-0.35305477]	[-1.90696219]
[ 0.12474084]	[-0.99218936]	[-0.36848312]	[-1.86209172]
[ 0.19819614]	[-0.98016238]	[-0.38406084]	[-1.79316719]
[ 0.25079962]	[-0.96803902]	[-0.38919572]	[-1.73641781]
[ 0.28348858]	[-0.95897561]	[-0.38743486]	[-1.70050224]
[ 0.29723744]	[-0.9548036]	[-0.38088574]	[-1.68975186]
[ 0.29251559]	[-0.95626075]	[-0.37008789]	[-1.70523113]
[ 0.26911087]	[-0.9631092]	[-0.35408983]	[-1.74517115]
[ 0.22613565]	[-0.97409582]	[-0.33063894]	[-1.80475944]
[ 0.16218544]	[-0.9867603]	[-0.29652198]	[-1.87534766]
[ 0.10515382]	[-0.99445597]	[-0.26388444]	[-1.92387017]
[ 0.05815158]	[-0.99830776]	[-0.2349388]	[-1.9543925]
[ 0.02377341]	[-0.99971737]	[-0.21143092]	[-1.97166332]
[ 0.00391975]	[-0.99999232]	[-0.19457287]	[-1.9800947]
[-0.00019881]	[-0.99999998]	[-0.18507539]	[-1.98276173]
[ 0.01204453]	[-0.99992746]	[-0.18322844]	[-1.98067639]
