6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[ 0.04077308]	[-0.99916843]	[-0.18894429]	[-1.97242582]
[ 0.08556743]	[-0.99633238]	[-0.20170305]	[-1.95418189]
[ 0.14528543]	[-0.98938978]	[-0.22039893]	[-1.92012871]
[ 0.21780924]	[-0.97599136]	[-0.24315769]	[-1.86340868]
[ 0.29988583]	[-0.9539751]	[-0.26725921]	[-1.77759304]
[ 0.3588634]	[-0.93339009]	[-0.28053082]	[-1.70226916]
[ 0.39647762]	[-0.91804439]	[-0.28678082]	[-1.64822101]
[ 0.41442458]	[-0.91008366]	[-0.28869826]	[-1.62115206]
[ 0.4137148]	[-0.91040654]	[-0.28760325]	[-1.62325505]
[ 0.39449304]	[-0.91889893]	[-0.28343441]	[-1.65402774]
[ 0.35603947]	[-0.93447092]	[-0.27481797]	[-1.71036968]
[ 0.29686597]	[-0.95491916]	[-0.25920839]	[-1.7860517]
[ 0.21495474]	[-0.97662401]	[-0.233181]	[-1.87058953]
[ 0.10832252]	[-0.9941158]	[-0.19306534]	[-1.94761743]
[-0.02372561]	[-0.99971851]	[-0.13626302]	[-1.993366]
[-0.1782312]	[-0.98398864]	[-0.06362296]	[-1.97739941]
[-0.34558725]	[-0.93838662]	[ 0.01762879]	[-1.87009157]
[-0.50932687]	[-0.86057314]	[ 0.09343971]	[-1.65849071]
[-0.62949681]	[-0.77700306]	[ 0.14087232]	[-1.41460121]
[-0.73081104]	[-0.68257983]	[ 0.16790237]	[-1.12111627]
[-0.81133339]	[-0.58458372]	[ 0.16631122]	[-0.79484789]
[-0.87225383]	[-0.48905343]	[ 0.12704715]	[-0.45166965]
[-0.91649533]	[-0.40004537]	[ 0.03973282]	[-0.10742323]
[-0.94776697]	[-0.31896359]	[-0.10554147]	[ 0.22016183]
[-0.96977477]	[-0.24400184]	[-0.31401149]	[ 0.51096473]
[-0.9853807]	[-0.1703669]	[-0.58169533]	[ 0.74453097]
[-0.99580002]	[-0.09155497]	[-0.89357212]	[ 0.90320603]
[-0.99999957]	[-0.00092987]	[-1.2244606]	[ 0.9735532]
[-0.99424375]	[ 0.10714183]	[-1.53897233]	[ 0.94575424]
[-0.97718907]	[ 0.21237118]	[-1.76814291]	[ 0.824247]
[-0.95206368]	[ 0.3058999]	[-1.8962336]	[ 0.63535881]
[-0.9260433]	[ 0.37741729]	[-1.92555778]	[ 0.40857499]
[-0.90820431]	[ 0.4185271]	[-1.87706791]	[ 0.17093203]
[-0.90510737]	[ 0.42518308]	[-1.77930215]	[-0.06039235]
[-0.91814937]	[ 0.39623444]	[-1.65581684]	[-0.27892977]
[-0.94369042]	[ 0.33082986]	[-1.52163135]	[-0.48524874]
[-0.96741348]	[ 0.25320182]	[-1.33755866]	[-0.67577209]
[-0.98725864]	[ 0.15912378]	[-1.10761616]	[-0.83360684]
[-0.99977182]	[ 0.02136116]	[-0.88428666]	[-0.97194804]
[-0.99095237]	[-0.13421401]	[-0.63313392]	[-1.06800519]
[-0.95236002]	[-0.30497605]	[-0.36612733]	[-1.11511877]
[-0.8750388]	[-0.48405278]	[-0.09593092]	[-1.11094265]
[-0.75162091]	[-0.65959533]	[ 0.16608718]	[-1.05685073]
[-0.579095]	[-0.81526007]	[ 0.41090545]	[-0.95632428]
[-0.36144022]	[-0.93239528]	[ 0.63144039]	[-0.81328153]
[-0.09255697]	[-0.99570739]	[ 0.85212544]	[-0.66772089]
[ 0.20353035]	[-0.97906864]	[ 1.08304325]	[-0.50319358]
[ 0.4925888]	[-0.87026219]	[ 1.31888833]	[-0.30703125]
[ 0.73863736]	[-0.674103]	[ 1.54321564]	[-0.08025639]
[ 0.90341111]	[-0.42877543]	[ 1.7026132]	[ 0.17228697]
[ 0.98954003]	[-0.14425855]	[ 1.81976593]	[ 0.41316853]
[ 0.9877454]	[ 0.15607378]	[ 1.87575931]	[ 0.61589038]
[ 0.89426943]	[ 0.44752898]	[ 1.84659444]	[ 0.75261433]
[ 0.73579289]	[ 0.67720663]	[ 1.7242605]	[ 0.82863909]
[ 0.54776665]	[ 0.83663116]	[ 1.5475146]	[ 0.85908183]
[ 0.32648046]	[ 0.94520395]	[ 1.31890623]	[ 0.82235817]
[ 0.08587343]	[ 0.99630605]	[ 1.04739274]	[ 0.7215687]
[-0.16074141]	[ 0.98699655]	[ 0.74423266]	[ 0.56152982]
[-0.40107463]	[ 0.91604538]	[ 0.42101005]	[ 0.34668013]
[-0.60846264]	[ 0.79358252]	[ 0.12848597]	[ 0.11763375]
[-0.77911064]	[ 0.62688644]	[-0.12317714]	[-0.12793224]
[-0.90634713]	[ 0.42253389]	[-0.3253924]	[-0.39140199]
[-0.98190834]	[ 0.18935681]	[-0.47157207]	[-0.67061812]
[-0.99816924]	[-0.06048272]	[-0.55824781]	[-0.95851898]
[-0.95011512]	[-0.31189943]	[-0.58561481]	[-1.2431027]
[-0.83657851]	[-0.54784706]	[-0.55738049]	[-1.50808061]
[-0.66113978]	[-0.75026275]	[-0.48029498]	[-1.7337744]
[-0.43336794]	[-0.90121708]	[-0.36367608]	[-1.89878565]
[-0.17056277]	[-0.98534681]	[-0.21895678]	[-1.98417514]
[ 0.10171582]	[-0.9948135]	[-0.05879325]	[-1.98184786]
[ 0.35449882]	[-0.93505646]	[ 0.10505427]	[-1.90344554]
[ 0.56605942]	[-0.82436444]	[ 0.26461443]	[-1.77784801]
[ 0.72828032]	[-0.68527934]	[ 0.41713113]	[-1.63564042]
[ 0.84336886]	[-0.53733507]	[ 0.56442168]	[-1.49764151]
[ 0.91846735]	[-0.39549681]	[ 0.71138767]	[-1.37382089]
[ 0.96263246]	[-0.27081128]	[ 0.86413304]	[-1.26594838]
[ 0.98524862]	[-0.17112904]	[ 1.02777706]	[-1.1702243]
[ 0.99480525]	[-0.10179641]	[ 1.20432095]	[-1.07960169]
[ 0.99910609]	[-0.04227317]	[ 1.35324652]	[-0.97746543]
[ 0.99996134]	[ 0.00879269]	[ 1.47347248]	[-0.87199514]
[ 0.99859497]	[ 0.05299137]	[ 1.56580852]	[-0.77057939]
[ 0.99576885]	[ 0.09189345]	[ 1.63229662]	[-0.67936033]
[ 0.99191872]	[ 0.12687497]	[ 1.67546811]	[-0.60302929]
[ 0.98727606]	[ 0.15901569]	[ 1.69764683]	[-0.54481196]
[ 0.98196727]	[ 0.18905101]	[ 1.70039591]	[-0.50654965]
[ 0.97609296]	[ 0.21735348]	[ 1.68417027]	[-0.48878144]
[ 0.96979464]	[ 0.24392283]	[ 1.64820964]	[-0.49075607]
[ 0.96331525]	[ 0.26837236]	[ 1.59069175]	[-0.51034371]
[ 0.95705354]	[ 0.28991124]	[ 1.50915339]	[-0.54386676]
[ 0.95160222]	[ 0.30733243]	[ 1.40116762]	[-0.58591499]
[ 0.94774818]	[ 0.31901943]	[ 1.26523314]	[-0.62924388]
[ 0.94640527]	[ 0.32298152]	[ 1.1017985]	[-0.66487117]
[ 0.94845134]	[ 0.3169228]	[ 0.91432173]	[-0.68249461]
[ 0.95445491]	[ 0.29835521]	[ 0.71024261]	[-0.67136659]
[ 0.96924455]	[ 0.24609959]	[ 0.5399958]	[-0.65708672]
[ 0.98687025]	[ 0.16151504]	[ 0.40264476]	[-0.65007634]
[ 0.99894327]	[ 0.04596024]	[ 0.2919077]	[-0.66121774]
[ 0.99518341]	[-0.09803047]	[ 0.19654684]	[-0.69984407]
[ 0.9641332]	[-0.26541886]	[ 0.10173339]	[-0.77164664]
[ 0.89436102]	[-0.44734591]	[-0.00856579]	[-0.87714024]
[ 0.77637906]	[-0.63026626]	[-0.14826306]	[-1.01110344]
[ 0.60508208]	[-0.79616309]	[-0.32511944]	[-1.16321232]
[ 0.38188473]	[-0.92420996]	[-0.53663598]	[-1.31958283]
[ 0.11552255]	[-0.99330486]	[-0.76684936]	[-1.46385753]
[-0.178402]	[-0.98395769]	[-0.98468651]	[-1.57548562]
[-0.47675778]	[-0.87903471]	[-1.14395865]	[-1.62391255]
[-0.74429548]	[-0.66785046]	[-1.1883844]	[-1.56383318]
[-0.93151413]	[-0.36370514]	[-1.07702599]	[-1.35306165]
[-0.99975977]	[-0.02191797]	[-0.83047955]	[-1.00748594]
[-0.96245819]	[ 0.27142997]	[-0.55981253]	[-0.64392596]
[-0.85050726]	[ 0.52596331]	[-0.25070355]	[-0.27418387]
[-0.68230365]	[ 0.73106889]	[ 0.08036342]	[ 0.08427763]
[-0.47340082]	[ 0.88084713]	[ 0.41711027]	[ 0.4258856]
[-0.24969936]	[ 0.96832341]	[ 0.71696628]	[ 0.71228135]
[-0.02249174]	[ 0.99974703]	[ 0.97585745]	[ 0.94231091]
[ 0.19977246]	[ 0.97984232]	[ 1.19078445]	[ 1.11361542]
